New Repo Check

Env. variable "spring.datasource.url=${JDBC_DATABASE_URL}" in file "\main\resources\application.properties"
Env. variable "spring.datasource.username=${JDBC_USERNAME}" in file "\main\resources\application.properties"
Env. variable "spring.datasource.password=${JDBC_PASSWORD}" in file "\main\resources\application.properties"
Env. variable "app.secret-key=${TOKEN_SECRET}" in file "\main\resources\application.properties"
Annotation "@JsonFormat" in file "\main\java\dk\kea\quickbook\dto\GuestResponse.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\dto\ReservationResponse.java"
Annotation "@JsonInclude" in file "\main\java\dk\kea\quickbook\dto\RoomRequest.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\dto\ReservationResponse.java"
Annotation "@JsonInclude" in file "\main\java\dk\kea\quickbook\dto\ReservationResponse.java"
Annotation "@JsonFormat" in file "\main\java\dk\kea\quickbook\dto\ReservationResponse.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\dto\RoomRequest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\service\GuestServiceTest.java"
Annotation "@ExtendWith" in file "\test\java\dk\kea\quickbook\service\GuestServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\GuestServiceTest.java"
Annotation "@BeforeEach" in file "\test\java\dk\kea\quickbook\service\GuestServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\GuestServiceTest.java"
Annotation "@ExtendWith" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@BeforeEach" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\GuestServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\dto\RoomRequest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@DataJpaTest" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\HotelServiceTest.java"
Annotation "@ExtendWith" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@BeforeEach" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\dto\RoomResponse.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\dto\RoomResponse.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@ExtendWith" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\ReservationServiceTest.java"
Annotation "@JsonInclude" in file "\main\java\dk\kea\quickbook\dto\RoomResponse.java"
Annotation "@BeforeEach" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\dto\HotelRequest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\service\RoomServiceTest.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\dto\HotelRequest.java"
Annotation "@AllArgsConstructor" in file "\main\java\dk\kea\quickbook\dto\HotelRequest.java"
Annotation "@Query" in file "\main\java\dk\kea\quickbook\repository\HotelRepository.java"
Annotation "@NoArgsConstructor" in file "\main\java\dk\kea\quickbook\dto\HotelRequest.java"
Annotation "@Param" in file "\main\java\dk\kea\quickbook\repository\RoomRepository.java"
Annotation "@Param" in file "\main\java\dk\kea\quickbook\repository\RoomRepository.java"
Annotation "@JsonInclude" in file "\main\java\dk\kea\quickbook\dto\HotelRequest.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\entity\DateTimeInfo.java"
Annotation "@Service" in file "\main\java\dk\kea\quickbook\service\GuestService.java"
Annotation "@Service" in file "\main\java\dk\kea\quickbook\service\ReservationService.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\entity\DateTimeInfo.java"
Annotation "@MappedSuperclass" in file "\main\java\dk\kea\quickbook\entity\DateTimeInfo.java"
Annotation "@CreationTimestamp" in file "\main\java\dk\kea\quickbook\entity\DateTimeInfo.java"
Annotation "@UpdateTimestamp" in file "\main\java\dk\kea\quickbook\entity\DateTimeInfo.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@Query" in file "\main\java\dk\kea\quickbook\repository\RoomRepository.java"
Annotation "@Service" in file "\main\java\dk\kea\quickbook\service\RoomService.java"
Annotation "@Entity" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@NoArgsConstructor" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@GeneratedValue" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@Id" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
